category,description,title,url,lon,meta,lat,id
江苏,　　周庄古镇享有“中国第一水乡”之美誉，是江南六大古镇之一。始建于北宋的周庄坐落于江苏省昆山市，有独特的人文景观，西晋文学家张翰，唐代诗人刘禹锡、陆龟蒙等曾寓居周庄。全镇50％以上是江南特色的明清式民居，仅0.4平方公里区域内就有近百座古典宅院和60多个苏砖门头，是中国水乡文化和吴地汉文化的瑰宝。古镇依河成街，桥街相连，深宅大院，重脊高檐，河埠廊坊，过街骑楼，穿竹石栏，临河水阁，,苏州景点大全,,,,,5e54417d-22cf-4df2-ab1a-2c2823bce3f9
,,,,,,,773bde16-da67-4ed7-8b25-a03bb786878d
四川,　　峨眉山，“普贤者，佛之长子， 峨眉者， 山之领袖”，是中国四大佛教名山之一、世界自然与文化双遗产，有“峨眉天下秀”之美誉。景区位于四川乐山峨眉山市境内，面积154平方公里，区内山势雄伟，隘谷深幽，飞瀑如帘，,乐山景点大全,,,,,f0a4dc3b-118e-4093-9fb7-2172c17f842b
西藏,"　　西藏布达拉宫始建于公元7世纪，最初为吐蕃王朝赞普松赞干布为迎娶尺尊公主和文成公主而兴建。1645年（清顺治二年）五世达赖洛桑嘉措重建布达拉宫之后，成为历代达赖喇嘛冬宫居所，以及重大宗教和政治仪式举办地，也是供奉历世达赖喇嘛灵塔之地，旧时西藏政教合一的统治中心。
",拉萨景点大全,,,,,afc0ecf2-a514-4fda-b434-aca2e8619e63
北京,"　　鸟巢（国家体育场）是2008年第29届北京奥运会的主体育场，作为中华民族圆满举办奥运会的崛起象征，“鸟巢”位于北京奥林匹克公园中心区南部、北京城市中轴线北端的东侧，如今已成为现代中国和“新北京”的符号，是国内外游客必到之处。
",朝阳景点大全,,,,,e6134886-5c4a-40a3-8521-4c2abc27ffe5
浙江,"　　千岛湖是世界上岛屿最多的湖，也是中国面积最大的森林公园，以1078个岛屿入选中国世界纪录协会，创造了世界之最。千岛湖景区即新安江水库，总面积982平方公里，其中湖区面积573平方公里，是1959年我国建造的第一座自行设计、自制设备的大型水力发电站——新安江水力发电站而拦坝蓄水形成的人工湖，为国家一级水体，堪称杭州的“后花园”。
",杭州景点大全,,,,,34ab3d6b-dc9a-47df-bc67-eaf66d5074cc
湖北,"　　武当山是我国著名的道教圣地之一，以“四大名山皆拱揖，五方仙岳共朝宗”的“五岳之冠”的显赫地位闻名于世，是联合国公布的世界文化遗产地之一。山中36处宫观庵庙大多为明代所建，是中国现存最完整、规模最大、等级最高的道教古建筑群，被誉为“中国古代建筑成就的博物馆”。
",十堰景点大全,,,,,485a00bd-df66-4751-9aa3-07005b1160ec
湖南,"　　湘西凤凰古城位于湖南省湘西自治州西南边，是中国第101座国家历史文化名城，古城风景秀丽、历史悠久、名胜古迹甚多。曾被新西兰著名作家路易·艾黎称赞为中国最美丽的小城，与云南丽江古城、山西平遥古城媲美，享有“北平遥，南凤凰”之美誉。城内现有文物古建筑68处，古遗址116处，明清两代特色民居建筑120多栋，城外沱江蜿蜒，河水清冽，浆声舟影，山歌互答，一派宁静安祥的小城风光。
",湘西景点大全,,,,,afff34a3-884c-427b-91b4-5e625bda4ffc
安徽,"　　黄山为三山五岳中的三山之一，被誉为“天下第一奇山”，黄山风景区位于中国东部安徽省南部，其中精华部分为154平方公里，号称“五百里黄山”，区内无处不景，无景不奇，尤以奇松、怪石、云海、温泉“四绝”著称于世。
",黄山景点大全,,,,,ebf08c2d-913a-4677-aa1f-32299580f2b1
北京,"　　天安门广场，是世界上最大的城市中心广场，也是新中国无数重大政治、历史事件的发生地，“天安丽日”一景被评为“北京十六景”之一。天安门广场占地面积44公顷，东西宽500米，南北长880米，地面全部由经过特殊工艺技术处理的浅色花岗岩条石铺成。
",东城景点大全,,,,,4c4d1dc5-6452-48e4-8af5-402853c52706
江苏,　　扬州瘦西湖有“园林之盛，甲于天下”之誉，园林群景色怡人，融南秀北雄为一体，是具有重要历史文化遗产和扬州园林特色的国家重点名胜区。瘦西湖早在清代康乾时期即已形成基本格局，文人墨客足迹颇多，人文活动丰富，是扬州最具代表性的景区，为来者必游之处。正所谓“烟花三月下扬州”，每年春季的万花会是集花与艺术、花与饮食、花与养生、花与民俗为一体的万花盛宴，也是扬州一年一度最盛大的节庆活动。,扬州景点大全,,,,,2dc9f205-bff8-4a7d-bf62-02f24ac42e3d
江苏,　　玄武湖，是南京最大的综合性文化娱乐休息公园，园内名胜古迹荟萃：巍峨的明城墙、秀美的九华山、古色古香的鸡鸣寺环绕其左右；玄武晨曦、武庙古闸、明城探幽、水上乐园点缀其中。著名的历史人物李白、王安石、郭璞、郭沫若等，都曾游览此地，留下遗迹与诗篇。玄武湖湖岸呈菱形，内有5个岛，将湖面分成四大片，各岛之间有桥或堤相通，湖内种植荷花，夏秋时节，满湖清香，景色迷人。,南京景点大全,,,,,cde4a677-c04b-47e4-bf3a-e3c64da02bad
山西,　　壶口瀑布水势汹涌，涛声震天，景色壮丽，是黄河最壮观的一段，也是国内外罕见的瀑布奇观。,临汾景点大全,,,,,74e5c33a-a003-43b9-b119-c89a41048100
